Sno,Episodes,Title,Director,Writer,Air_date,Seasons,Viewers
1,1,"""Pilot""",Kevin Bray,Aaron Korsh,"June 23, 2011",S1,4.64
2,2,"""Errors and Omissions""",John Scott,Sean Jablonski,"June 30, 2011",S1,3.89
3,3,"""Inside Track""",Kevin Bray,Aaron Korsh,"July 7, 2011",S1,4.53
4,4,"""Dirty Little Secrets""",Dennie Gordon,Jon Cowan,"July 14, 2011",S1,4.38
5,5,"""Bail Out""",Kate Woods,Ethan Drogin,"July 21, 2011",S1,4.38
6,6,"""Tricks of the Trade""",Terry McDonough,Rick Muirragui,"July 28, 2011",S1,4.44
7,7,"""Play the Man""",Tim Matheson,Erica Lipez,"August 4, 2011",S1,4.03
8,8,"""Identity Crisis""",Norberto Barba,Ethan Drogin,"August 11, 2011",S1,3.96
9,9,"""Undefeated""",Felix Alcala,Rick Muirragui,"August 18, 2011",S1,4.45
10,10,"""Shelf Life""",Jennifer Getzinger,Sean Jablonski,"August 25, 2011",S1,3.82
11,11,"""Rules of the Game""",Mike Smith,Jon Cowan,"September 1, 2011",S1,3.96
12,12,"""Dog Fight""",Kevin Bray,Aaron Korsh,"September 8, 2011",S1,3.47
13,1,"""She Knows""",Michael Smith,Aaron Korsh,"June 14, 2012",S2,3.47
14,2,"""The Choice""",Kevin Bray,Jon Cowan,"June 21, 2012",S2,3.80
15,3,"""Meet the New Boss""",Michael Smith,Erica Lipez,"June 28, 2012",S2,3.88
16,4,"""Discovery""",Kevin Bray,Daniel Arkin,"July 12, 2012",S2,3.70
17,5,"""Break Point""",Christopher Misiano,Ethan Drogin,"July 19, 2012",S2,3.72
18,6,"""All In""",John Scott,Karla Nappi,"July 26, 2012",S2,3.89
19,7,"""Sucker Punch""",Adam Davidson,Genevieve Sparling,"August 2, 2012",S2,3.41
20,8,"""Rewind""",Félix Alcalá,Rick Muirragui,"August 9, 2012",S2,3.42
21,9,"""Asterisk""",Jennifer Getzinger,Justin Peacock,"August 16, 2012",S2,4.00
22,10,"""High Noon""",Kevin Bray,Erica Lipez,"August 23, 2012",S2,4.48
23,11,"""Blind-Sided""",David Platt,Ethan Drogin,"January 17, 2013",S2,3.57
24,12,"""Blood in the Water""",Roger Kumble,Genevieve Sparling,"January 24, 2013",S2,3.75
25,13,"""Zane vs. Zane""",Nicole Kassell,Rick Muirragui,"January 31, 2013",S2,3.36
26,14,"""He's Back""",Kevin Bray,Daniel Arkin,"February 7, 2013",S2,3.07
27,15,"""Normandy""",Terry McDonough,Jon Cowan,"February 14, 2013",S2,2.90
28,16,"""War""",John Scott,Aaron Korsh,"February 21, 2013",S2,3.20
29,1,"""The Arrangement""",Christopher Misiano,Aaron Korsh,"July 16, 2013",S3,2.93
30,2,"""I Want You to Want Me""",Roger Kumble,Jon Cowan,"July 23, 2013",S3,2.88
31,3,"""Unfinished Business""",Anton Cropper,Ethan Drogin,"July 30, 2013",S3,2.47
32,4,"""Conflict of Interest""",Michael Smith,Daniel Arkin,"August 6, 2013",S3,2.99
33,5,"""Shadow of a Doubt""",Félix Alcalá,Genevieve Sparling,"August 13, 2013",S3,2.79
34,6,"""The Other Time""",John Scott,Rick Muirragui,"August 20, 2013",S3,2.76
35,7,"""She's Mine""",Anton Cropper,Paul Redford,"August 27, 2013",S3,2.79
36,8,"""Endgame""",Michael Smith,Justin Peacock,"September 3, 2013",S3,3.52
37,9,"""Bad Faith""",Christopher Misiano,Ethan Drogin,"September 10, 2013",S3,2.95
38,10,"""Stay""",Kevin Bray,Rick Muirragui,"September 17, 2013",S3,3.16
39,11,"""Buried Secrets""",Cherie Nowlan,Erica Lipez,"March 6, 2014",S3,2.27
40,12,"""Yesterday's Gone""",Anton Cropper,Genevieve Sparling,"March 13, 2014",S3,2.27
41,13,"""Moot Point""",Kevin Bray,Daniel Arkin,"March 20, 2014",S3,2.35
42,14,"""Heartburn""","James Whitmore, Jr.",Aaron Korsh & Erica Lipez,"March 27, 2014",S3,2.53
43,15,"""Know When to Fold 'Em""",Anton Cropper,Jon Cowan,"April 3, 2014",S3,2.50
44,16,"""No Way Out""",Michael Smith,Aaron Korsh & Daniel Arkin,"April 10, 2014",S3,2.40
45,1,"""One-Two-Three Go...""",Anton Cropper,Aaron Korsh,"June 11, 2014",S4,2.50
46,2,"""Breakfast, Lunch and Dinner""",Roger Kumble,Genevieve Sparling,"June 18, 2014",S4,2.65
47,3,"""Two in the Knees""",Anton Cropper,Chris Downey,"June 25, 2014",S4,2.76
48,4,"""Leveraged""",Kevin Bray,Nora Zuckerman & Lilla Zuckerman,"July 9, 2014",S4,2.42
49,5,"""Pound of Flesh""",Christopher Misiano,Daniel Arkin,"July 16, 2014",S4,2.33
50,6,"""Litt the Hell Up""",Silver Tree,Rick Muirragui,"July 23, 2014",S4,2.70
51,7,"""We're Done""",Cherie Nowlan,Aaron Korsh & Daniel Arkin & Genevieve Sparling,"July 30, 2014",S4,2.81
52,8,"""Exposure""",John Scott,Justin Peacock,"August 6, 2014",S4,2.59
53,9,"""Gone""",James Whitmore Jr.,Kyle Long,"August 13, 2014",S4,2.59
